graph,normal,,,adapV,,,adapE,,
src\input_graphs\exact_011.gr,1470880,49,38,1756180,49,38,1517890,49,38
src\input_graphs\exact_015.gr,1282220,133,81,1251910,132,71,1312080,134,75
src\input_graphs\exact_005.gr,822080,136,80,753670,125,55,708230,126,55
src\input_graphs\exact_021.gr,1593270,210,91,1811510,192,46,1821070,192,46
src\input_graphs\exact_009.gr,2731280,714,158,3193000,740,120,3163090,660,96
src\input_graphs\exact_001.gr,1904760,815,115,2472750,815,115,1724420,815,115
src\input_graphs\exact_013.gr,32366010,16607,3662,37460750,15903,3199,33693920,15817,2729
src\input_graphs\exact_023.gr,72151210,50517,7496,75665480,49489,4679,75655100,49722,3398
src\input_graphs\exact_004.gr,172010,14,20,214610,14,19,270940,14,19
src\input_graphs\exact_006.gr,337720,91,32,319120,89,29,332530,89,29
src\input_graphs\exact_008.gr,232060,25,21,215350,25,21,209400,25,21
src\input_graphs\exact_012.gr,34137980,27269,5233,36185690,26641,3012,36093200,26412,2650
src\input_graphs\exact_022.gr,372090,96,51,401640,95,50,388390,95,50
src\famous_graphs\Bull.edge,164430,6,5,122080,6,5,126010,6,5
src\famous_graphs\Butterfly.edge,132110,7,5,122440,7,5,121500,7,5
src\famous_graphs\Chvatal.edge,56155010,59653,10542,59663160,59653,10133,64106110,59653,10133
src\famous_graphs\Diamond.edge,130270,6,4,127360,6,4,128760,6,4
src\famous_graphs\Durer.edge,9690050,10057,1787,10503850,10027,1704,11364620,10027,1704
src\famous_graphs\Franklin.edge,9181590,8986,1522,9704430,8988,1500,9653100,8917,1358
src\famous_graphs\Frucht.edge,1925200,1802,279,2276300,1801,274,2371520,1802,276
src\famous_graphs\Goldner.edge,254230,42,19,244500,42,19,222160,42,19
src\famous_graphs\Grotzsch.edge,9463700,7496,1839,8162740,7496,1521,7355350,7496,1521
src\famous_graphs\Herschel.edge,195640,49,15,197360,49,15,212290,49,15
src\famous_graphs\Hoffman.edge,1985496320,1651206,203825,2135743800,1651206,200669,2090501760,1651206,200669
src\famous_graphs\Moser.edge,182320,80,31,169830,81,32,177220,80,30
src\famous_graphs\Petersen.edge,852840,806,114,879590,806,114,889330,806,114
src\famous_graphs\Pmin.edge,187180,80,18,189350,80,18,214460,80,18
src\famous_graphs\Prism.edge,148640,72,30,164650,72,30,157890,72,30
src\famous_graphs\Sousselier.edge,463053480,382286,37384,539254510,382094,36044,497261140,382094,36044
src\famous_graphs\Tietze.edge,10290140,10387,1640,11445900,10332,1509,10745030,10442,1716
src\famous_graphs\Wagner.edge,398250,379,146,454980,379,130,477730,379,130