,0,,,0.2,,,0.4,,,0.6,,,0.8,,,1.0,,,1.2,,,1.4,,,1.6,,,1.8,,,2,,
src\input_graphs\exact_011.gr,4662000,49,38,1954900,49,38,1822200,49,38,1407100,49,38,1261700,49,38,1355100,49,38,1135700,49,38,1284200,49,38,1599000,49,38,1585300,49,38,1066500,49,38
src\input_graphs\exact_015.gr,1124300,132,71,926800,132,71,885200,132,71,936900,132,71,948100,132,71,848300,132,71,762700,132,71,752100,132,71,777400,132,71,710400,132,71,779800,132,71
src\input_graphs\exact_005.gr,792500,125,55,903900,125,55,831500,125,55,651500,125,55,1033000,125,55,900600,125,55,752900,125,55,687500,125,55,635800,125,55,724300,125,55,558100,125,55
src\input_graphs\exact_021.gr,1657400,192,46,1494400,192,46,1566400,192,46,1462700,192,46,1964300,192,46,1989400,192,46,1995400,192,46,1288100,192,46,2153500,192,46,2288000,192,46,1784800,192,46
src\input_graphs\exact_009.gr,3430500,740,120,2843300,740,120,4518800,740,120,3026600,740,120,1918900,740,120,2408400,740,120,1968800,740,120,1932700,740,120,1907400,740,120,3140900,740,120,2343200,740,120
src\input_graphs\exact_001.gr,2168800,815,115,2589600,815,115,1611900,815,115,2101300,815,115,1894500,815,115,1895800,815,115,1675500,815,115,1910900,815,115,2649100,815,115,2183100,815,115,1929300,815,115
src\input_graphs\exact_013.gr,53580100,15903,3199,36567900,15903,3199,41187600,15903,3199,37910500,15903,3199,39211100,15903,3199,35188500,15903,3199,29133700,15903,3199,27188700,15903,3199,26426700,15903,3199,27081000,15903,3199,29149200,15903,3199
src\input_graphs\exact_023.gr,74757000,49489,4679,79087100,49489,4679,77364900,49489,4679,77106800,49489,4679,73512200,49489,4679,77341600,49489,4679,77867400,49489,4679,80290200,49489,4679,73526800,49489,4679,84437500,49489,4679,138363000,49489,4679
src\input_graphs\exact_004.gr,349400,14,19,267500,14,19,254400,14,19,245800,14,19,245700,14,19,256300,14,19,259200,14,19,1706700,14,19,250700,14,19,238100,14,19,4269600,14,19
src\input_graphs\exact_006.gr,495300,89,29,451400,89,29,441400,89,29,431100,89,29,426700,89,29,542000,89,29,434200,89,29,424200,89,29,423900,89,29,423000,89,29,417600,89,29
src\input_graphs\exact_008.gr,579200,25,21,519200,25,21,374200,25,21,295000,25,21,263600,25,21,262200,25,21,270300,25,21,284100,25,21,269000,25,21,268100,25,21,262800,25,21
src\input_graphs\exact_012.gr,50529400,26641,3012,35852700,26641,3012,35119000,26641,3012,35291900,26641,3012,34979300,26641,3012,36629400,26641,3012,34681900,26641,3012,34571200,26641,3012,34551300,26641,3012,37785600,26641,3012,38434500,26641,3012
src\input_graphs\exact_022.gr,415100,95,50,416700,95,50,358000,95,50,484100,95,50,367300,95,50,361500,95,50,356600,95,50,345600,95,50,403100,95,50,362000,95,50,357300,95,50
src\famous_graphs\Bull.edge,109400,6,5,103400,6,5,103700,6,5,102600,6,5,99200,6,5,101700,6,5,99100,6,5,98400,6,5,155000,6,5,120900,6,5,99700,6,5
src\famous_graphs\Butterfly.edge,100900,7,5,110900,7,5,97900,7,5,104500,7,5,97400,7,5,127900,7,5,108300,7,5,111600,7,5,113500,7,5,127900,7,5,150300,7,5
src\famous_graphs\Chvatal.edge,63491400,59653,10133,61768100,59653,10133,64150800,59653,10133,59580500,59653,10133,57430100,59653,10133,64997600,59653,10133,60596400,59653,10133,64051200,59653,10133,63920400,59653,10133,61735000,59653,10133,59726900,59653,10133
src\famous_graphs\Diamond.edge,158400,6,4,140500,6,4,157200,6,4,143700,6,4,133600,6,4,169400,6,4,115500,6,4,121100,6,4,188300,6,4,167200,6,4,158700,6,4
src\famous_graphs\Durer.edge,12789800,10027,1704,10825300,10027,1704,11370200,10027,1704,11767100,10027,1704,11236900,10027,1704,12426300,10027,1704,13485600,10027,1704,20889300,10027,1704,17826900,10027,1704,11656700,10027,1704,10698600,10027,1704
src\famous_graphs\Franklin.edge,10471900,8988,1500,10139300,8988,1500,10007600,8988,1500,9942900,8988,1500,10530800,8988,1500,10370500,8988,1500,10010200,8988,1500,9914200,8988,1500,9924000,8988,1500,11286400,8988,1500,10814900,8988,1500
src\famous_graphs\Frucht.edge,3662900,1801,274,4215700,1801,274,3781200,1801,274,3707400,1801,274,3633000,1801,274,3601300,1801,274,2638300,1801,274,2400100,1801,274,2394000,1801,274,2471800,1801,274,2491500,1801,274
src\famous_graphs\Goldner.edge,171400,42,19,158000,42,19,334300,42,19,266600,42,19,219900,42,19,174200,42,19,160900,42,19,174000,42,19,172500,42,19,157100,42,19,166800,42,19
src\famous_graphs\Grotzsch.edge,7209900,7496,1521,7417300,7496,1521,7330200,7496,1521,7350600,7496,1521,7809100,7496,1521,7419700,7496,1521,7060300,7496,1521,7506400,7496,1521,7207300,7496,1521,7568400,7496,1521,7097200,7496,1521
src\famous_graphs\Herschel.edge,219700,49,15,182700,49,15,162600,49,15,162200,49,15,184100,49,15,163700,49,15,167300,49,15,155000,49,15,294300,49,15,170500,49,15,211900,49,15
src\famous_graphs\Hoffman.edge,2128019100,1651206,200669,2133931200,1651206,200669,2166657500,1651206,200669,2277682300,1651206,200669,2168379500,1651206,200669,2245608400,1651206,200669,2143518100,1651206,200669,2089777500,1651206,200669,2062897500,1651206,200669,2127725400,1651206,200669,2017261800,1651206,200669
src\famous_graphs\Moser.edge,216800,81,32,189600,81,32,230100,81,32,178400,81,32,164700,81,32,150100,81,32,149700,81,32,259900,81,32,148900,81,32,173200,81,32,212200,81,32
src\famous_graphs\Petersen.edge,1016800,806,114,1051100,806,114,1028100,806,114,1109400,806,114,1148000,806,114,1092400,806,114,1063100,806,114,898500,806,114,923600,806,114,867600,806,114,903800,806,114
src\famous_graphs\Pmin.edge,179400,80,18,178200,80,18,171700,80,18,174600,80,18,195500,80,18,198000,80,18,188700,80,18,170300,80,18,226200,80,18,186800,80,18,200300,80,18
src\famous_graphs\Prism.edge,199200,72,30,144600,72,30,144600,72,30,195500,72,30,143900,72,30,161300,72,30,191200,72,30,144500,72,30,144100,72,30,188400,72,30,141000,72,30
src\famous_graphs\Sousselier.edge,491432300,382094,36044,479024900,382094,36044,490606600,382094,36044,487369200,382094,36044,512685100,382094,36044,502478700,382094,36044,506563200,382094,36044,487203700,382094,36044,489531900,382094,36044,499521600,382094,36044,498403500,382094,36044
src\famous_graphs\Tietze.edge,10972100,10332,1509,10581100,10332,1509,10870200,10332,1509,10915300,10332,1509,10759600,10332,1509,11058700,10332,1509,10906800,10332,1509,12036000,10332,1509,10787500,10332,1509,10531000,10332,1509,10712500,10332,1509
src\famous_graphs\Wagner.edge,518200,379,130,556400,379,130,446500,379,130,525800,379,130,394000,379,130,488400,379,130,559500,379,130,386300,379,130,600100,379,130,611100,379,130,393100,379,130