,,edges,vertices,avg deg,clique prop,pop var
src/input_graphs/exact_011.gr,normal,24,23,1.0434783,0.09486166,2.4725895
src/input_graphs/exact_015.gr,normal,30,26,1.1538461,0.092307694,4.6213007
src/input_graphs/exact_005.gr,normal,21,20,1.05,0.110526316,2.5925
src/input_graphs/exact_021.gr,normal,38,29,1.3103448,0.093596056,5.952438
src/input_graphs/exact_009.gr,normal,25,21,1.1904762,0.11904762,2.319728
src/input_graphs/exact_013.gr,normal,46,25,1.84,0.15333334,4.003198
src/input_graphs/exact_023.gr,normal,38,30,1.2666667,0.08735632,2.2533333
src/input_graphs/exact_004.gr,normal,18,18,1,0.11764706,2.4444444
src/input_graphs/exact_006.gr,normal,24,20,1.2,0.12631579,2.5799997
src/input_graphs/exact_008.gr,normal,39,20,1.95,0.20526315,11.392499
src/input_graphs/exact_012.gr,normal,28,24,1.1666666,0.10144927,2.3333333
src/input_graphs/exact_022.gr,normal,47,29,1.6206896,0.115763545,10.051129
src\input_graphs\exact_019.gr,normal,57,28,2.0357144,0.15079366,4.639031
src\input_graphs\exact_026.gr,normal,59,30,1.9666667,0.13563219,21.596653
src\input_graphs\exact_014.gr,normal,52,25,2.08,0.17333333,10.8608
src\input_graphs\exact_016.gr,normal,51,26,1.9615384,0.15692307,4.1494093
src\input_graphs\exact_037.gr,normal,48,39,1.2307693,0.06477733,3.8145955
src\input_graphs\exact_028.gr,normal,64,31,2.064516,0.13763441,4.8907404
src\famous_graphs\Bull.edge,normal,5,5,1,0.5,1.8
src\famous_graphs\Butterfly.edge,normal,6,5,1.2,0.6,2.0800002
src\famous_graphs\Chvatal.edge,normal,24,12,2,0.36363637,4
src\famous_graphs\Diamond.edge,normal,5,4,1.25,0.8333333,1.8125
src\famous_graphs\Durer.edge,normal,18,12,1.5,0.27272728,2.25
src\famous_graphs\Franklin.edge,normal,18,12,1.5,0.27272728,2.25
src\famous_graphs\Frucht.edge,normal,18,12,1.5,0.27272728,2.25
src\famous_graphs\Grotzsch.edge,normal,20,11,1.8181819,0.36363637,3.7190077
src\famous_graphs\Herschel.edge,normal,18,11,1.6363636,0.3272727,2.8760335
src\famous_graphs\Hoffman.edge,normal,32,16,2,0.26666668,4
src\famous_graphs\Moser.edge,normal,11,7,1.5714285,0.52380955,2.5918367
src\famous_graphs\Petersen.edge,normal,15,10,1.5,0.33333334,2.25
src\famous_graphs\Pmin.edge,normal,12,9,1.3333334,0.33333334,2
src\famous_graphs\Prism.edge,normal,9,6,1.5,0.6,2.25
src\famous_graphs\Sousselier.edge,normal,27,16,1.6875,0.225,3.2070312
src\famous_graphs\Tietze.edge,normal,18,12,1.5,0.27272728,2.25
src\famous_graphs\Wagner.edge,normal,12,8,1.5,0.42857143,2.25