file,,edges,vertices,none,,,re-order all,,,re-order start,,,simple lb,,,path lb,,,dom rule,,
src/input_graphs/exact_011.gr,normal,24,23,11277690,9965,2701,7931570,8289,2097,13670690,8426,2136,1053030,325,104,5050090,4752,1227,19203950,9013,2462
src/input_graphs/exact_015.gr,normal,30,26,13639380,21484,4563,9734640,13688,2721,12764180,13683,2711,897080,438,152,1313910,1367,528,15307140,5703,1894
src/input_graphs/exact_005.gr,normal,21,20,2066990,3273,1236,2072580,2971,1112,2068430,3102,1161,424710,264,118,1266000,1739,816,1710510,2020,1001
src/input_graphs/exact_021.gr,normal,38,29,731400330,1244940,80099,206730990,304292,17901,204639290,303931,17875,6159880,3680,330,100888280,130145,8496,841959180,714019,52156
src/input_graphs/exact_009.gr,normal,25,21,153985680,345028,63292,122339420,232836,37993,109889390,233809,38443,5277360,4627,734,6991420,6905,1694,147293280,195542,40850
src/input_graphs/exact_013.gr,normal,46,25,47982728870,106156300,7803176,51123727490,93062009,6935513,44886766810,93094864,6942542,772027350,646877,52844,2679511200,4868201,351473,10219968260,11875326,1569743
src/input_graphs/exact_023.gr,normal,38,30,140913331740,271527817,26299807,371826002910,625103366,63388015,335079846540,630153002,63886678,262074610,209032,31044,14336912730,19323347,1878543,93215785590,93476807,10757209
src/input_graphs/exact_004.gr,normal,18,18,2072660,726,346,1251980,382,150,577630,380,150,501000,65,37,1361580,540,306,1700640,570,291
src/input_graphs/exact_006.gr,normal,24,20,81777820,157314,21950,23513320,39071,4469,18509430,39046,4472,2729920,2332,391,20535080,29496,4642,83630580,100645,17703
src/input_graphs/exact_008.gr,normal,39,20,126989450,258759,23165,38807460,68179,5522,33790970,68044,5514,4749350,4425,526,1061040,675,90,14388180,16749,3568
src/input_graphs/exact_012.gr,normal,28,24,1464175890,2925971,560179,1619920520,2900386,557113,1404354370,2872035,549089,63390880,52633,8834,384932430,493185,97702,2257341730,2671790,539815
src/input_graphs/exact_022.gr,normal,47,29,1159692570,1811746,124431,181016550,249943,15764,189036040,286643,19247,11654630,7092,795,55007390,57556,4873,271320440,217224,24523
src\input_graphs\exact_026.gr,normal,59,30,1093563610,1700956,83692,305573220,392028,18346,558715150,392066,18353,37623170,20070,1401,25213650,16264,1675,27051280,18939,3223
src\famous_graphs\Bull.edge,normal,5,5,574689,18,11,416940,16,11,753210,16,11,322380,7,5,413769,11,9,397520,20,11
src\famous_graphs\Butterfly.edge,normal,6,5,274120,40,17,311010,31,12,585360,31,12,246770,19,7,265399,17,10,240950,14,9
src\famous_graphs\Chvatal.edge,normal,24,12,1071921900,2987353,742268,1232404470,2984241,741110,2214129710,2984241,741064,77557650,115098,15832,570838010,1183269,313429,561271720,961693,313771
src\famous_graphs\Diamond.edge,normal,5,4,141150,24,10,149319,22,10,299800,22,10,151279,12,5,147210,19,9,143399,16,9
src\famous_graphs\Durer.edge,normal,18,12,115212179,299747,85560,131463280,299424,85490,234207700,299621,85478,9941460,13424,2120,46100680,88763,28365,114004669,184212,61743
src\famous_graphs\Franklin.edge,normal,18,12,120620479,309928,87617,139124320,309683,87491,252098789,310939,88058,10014580,12790,1818,73336590,133802,35446,101747900,163364,54927
src\famous_graphs\Frucht.edge,normal,18,12,32985159,84249,18084,31831799,70666,13663,59458330,78523,15922,2432050,2661,350,7402709,12042,3051,28361289,43486,11611
src\famous_graphs\Grotzsch.edge,normal,20,11,87387280,249408,62022,98610189,246311,60723,176065870,246310,60736,8791870,13651,2771,40322750,82747,22684,62656890,105656,32310
src\famous_graphs\Herschel.edge,normal,18,11,5399440,14690,2426,3814270,8707,1235,6779860,8707,1234,504170,345,46,994309,1859,371,5273150,8201,1925
src\famous_graphs\Hoffman.edge,normal,32,16,31148669369,82861859,10763370,25594238040,55194442,6467447,45249967840,55194512,6467426,915304789,1049396,95378,4715891079,9666618,1299545,19682333039,28063567,4756368
src\famous_graphs\Moser.edge,normal,11,7,441110,952,332,487319,909,310,883030,923,317,263429,266,71,289720,417,163,315859,410,182
src\famous_graphs\Petersen.edge,normal,15,10,8399629,20786,5808,9044960,20693,5758,15894210,21526,6171,789439,916,127,3083229,5928,1723,12050839,20959,5930
src\famous_graphs\Pmin.edge,normal,12,9,967939,2619,851,971660,2119,614,1737530,2219,675,177409,117,23,381350,556,203,1379060,2522,804
src\famous_graphs\Prism.edge,normal,9,6,211120,412,190,224130,412,190,425190,412,188,152090,136,44,182219,241,128,177240,205,114
src\famous_graphs\Sousselier.edge,normal,27,16,13814210479,36931713,5698139,15452175850,34479112,5194510,27549514790,34479349,5194322,454771209,552178,54238,4331569279,8775245,1494180,23849126729,37071222,5753026
src\famous_graphs\Tietze.edge,normal,18,12,113656749,307586,86596,124571569,307571,86500,230056669,307705,86620,9159550,12735,1866,48071279,93685,27338,145164619,258277,77115
src\famous_graphs\Wagner.edge,normal,12,8,1587210,4214,1953,1648019,4212,1954,3092429,4248,1983,407199,533,153,1258369,2490,1345,1096100,2097,1106